address,LHIN,licensee,management,home type,short stay,residents council,family council,accreditation,city,postal code,number of beds,total_inspections,quartiles_total_range,quartiles_total_rank,5y_inspections,quartiles_5y_range,quartiles_5y_rank,2y_inspections,quartiles_2y_range,quartiles_2y_rank,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,CSDname,CSDuid,Pruid,latitude,longitude
564 Tanner Drive,South East,"Axr Operating (National) Lp, By Its General Partners",,For-Profit,No,Yes,Yes,Yes,Kingston, K7M0C3,174,70,"(46.0, 172.0]",3,33,"(23.0, 86.0]",3,13,"(11.0, 44.0]",3,arbour heights,,,,,Kingston,3510010,35,44.23937071,-76.55865852
120 Dorothy Street,North West,Atikokan General Hospital,,Non-Profit,No,No,Yes,Yes,Atikokan, P0T1C0,26,11,"(0.0, 21.0]",0,7,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,atikokan general hospital,,,,,Atikokan,3559001,35,48.754155,-91.597609
100 Michaud Street,North East,The Board Of Management Of The District Of Nipissing West,,Municipal,Yes,Yes,Yes,No,Sturgeon Falls, P2B2Z4,162,47,"(46.0, 172.0]",3,28,"(23.0, 86.0]",3,13,"(11.0, 44.0]",3,au chateau,,,,,West Nipissing / Nipissing Ouest,3548055,35,46.37203452,-79.92058532
355 Broadway Avenue,Central West,488491 Ontario Inc.,,For-Profit,Yes,Yes,Yes,Yes,Orangeville, L9W3Y3,137,30,"(21.0, 31.0]",1,16,"(11.0, 16.0]",1,10,"(7.0, 11.0]",2,avalon retirement centre,0,0,<5,Active,Orangeville,3522014,35,43.9169995,-80.11650514
196 Wellington Street P. O. Box 190,South West,Babcock Community Care Centre Inc.,,For-Profit,No,Yes,Yes,Yes,Wardsville, N0L2N0,60,32,"(31.0, 46.0]",2,17,"(16.0, 23.0]",2,10,"(7.0, 11.0]",2,babcock community care centre,,,,,Southwest Middlesex,3539005,35,42.6583997,-81.75796234
3000 Banwell Road,Erie St. Clair,Rykka Care Centres Lp,,For-Profit,Yes,Yes,Yes,Yes,Tecumseh, N8N2M4,142,74,"(46.0, 172.0]",3,36,"(23.0, 86.0]",3,16,"(11.0, 44.0]",3,banwell gardens care centre,,,,,Windsor,3537039,35,42.31060008,-82.89979807
120 Barnswallow Drive,Waterloo Wellington,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,No,Yes,No,Yes,Elmira, N3B2Y9,96,17,"(0.0, 21.0]",0,9,"(0.0, 11.0]",0,3,"(0.0, 5.0]",0,barnswallow place care community,,,,,Woolwich,3530035,35,43.59297082,-80.57796106
499 Hume Street,North Simcoe Muskoka,Bay Haven Nursing Home Incorporated,,For-Profit,No,Yes,No,No,Collingwood, L9Y4H8,60,14,"(0.0, 21.0]",0,10,"(0.0, 11.0]",0,6,"(5.0, 7.0]",1,bay haven nursing home,,,,,Collingwood,3543031,35,44.49946329,-80.19803202
900 Sandy Beach Road,Central East,Axr Operating (National) Lp,,For-Profit,No,Yes,Yes,Yes,Pickering, L1W1Z4,124,53,"(46.0, 172.0]",3,26,"(23.0, 86.0]",3,12,"(11.0, 44.0]",3,bay ridges,,0,,Inactive,Pickering,3518001,35,43.82847003,-79.0771309
100 Elvira Street P.O. Bag 3000,Champlain,"Cvh (No. 7) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,No,Yes,Yes,No,Kemptville, K0G1J0,66,22,"(21.0, 31.0]",1,17,"(16.0, 23.0]",2,4,"(0.0, 5.0]",0,bayfield manor,,,,,North Grenville,3507065,35,45.01874519,-75.65323739
330 Main Street East,Hamilton Niagara Haldimand Brant (Hnhb),Baywoods Place Operating Inc.,,For-Profit,No,Yes,Yes,Yes,Hamilton, L8N3T9,128,46,"(31.0, 46.0]",2,17,"(16.0, 23.0]",2,11,"(7.0, 11.0]",2,baywoods place,,,,,Hamilton,3525005,35,43.25176169,-79.8569424
5050 Hillside Drive,Hamilton Niagara Haldimand Brant (Hnhb),"Albright Gardens Homes, Incorporated",,Non-Profit,No,Yes,Yes,No,Beamsville, L0R1B2,231,39,"(31.0, 46.0]",2,25,"(23.0, 86.0]",3,15,"(11.0, 44.0]",3,"albright gardens homes, incorporated",,0,,Inactive,,,,43.151976,-79.476368
55 Belmont Street,Toronto Central,Toronto Aged Men's And Women's Homes,,Non-Profit,No,Yes,Yes,Yes,Toronto, M5R1R1,140,13,"(0.0, 21.0]",0,8,"(0.0, 11.0]",0,6,"(5.0, 7.0]",1,belmont house,,0,,Inactive,Toronto,3520005,35,43.67461349,-79.39106979
250 Bridge Street West,South East,Belcrest Nursing Homes Limited,,For-Profit,No,Yes,No,Yes,Belleville, K8P5N3,128,35,"(31.0, 46.0]",2,20,"(16.0, 23.0]",2,8,"(7.0, 11.0]",2,belmont long term care facility,,0,,Inactive,Belleville,3512005,35,44.16007616,-77.40393509
21 Belvedere Avenue,North East,Board Of Management Of The District Of Parry Sound West,,Municipal,No,Yes,Yes,Yes,Parry Sound, P2A2A2,101,40,"(31.0, 46.0]",2,23,"(16.0, 23.0]",2,13,"(11.0, 44.0]",3,belvedere heights,,,,,Parry Sound,3549032,35,45.34272524,-80.03862375
2920 Lawrence Avenue East,Central East,Toronto Long-term Care Homes And Services,,Municipal,Yes,Yes,Yes,Yes,Scarborough, M1P2T8,302,35,"(31.0, 46.0]",2,17,"(16.0, 23.0]",2,10,"(7.0, 11.0]",2,bendale acres,0,0,0,Active,Toronto,3520005,35,43.75493801,-79.25183955
1 Princess Anne Drive,Mississauga Halton,Bennett Centre Long Term Care At Bennett Village,,Non-Profit,No,Yes,Yes,Yes,Georgetown, L7G2B8,66,24,"(21.0, 31.0]",1,14,"(11.0, 16.0]",1,6,"(5.0, 7.0]",1,bennett health care centre,,,,,Halton Hills,3524015,35,43.64477486,-79.93394806
350 Dougall Avenue,Erie St. Clair,Rykka Care Centres Lp,,For-Profit,No,Yes,Yes,Yes,Windsor, N9A4P4,231,172,"(46.0, 172.0]",3,72,"(23.0, 86.0]",3,25,"(11.0, 44.0]",3,berkshire care centre,0,0,<5,Active,Windsor,3537039,35,42.31631637,-83.04161991
63 Carrie Street,North West,St. Joseph's Care Group,,Non-Profit,No,Yes,Yes,Yes,Thunder Bay, P7A4J2,110,35,"(31.0, 46.0]",2,29,"(23.0, 86.0]",3,19,"(11.0, 44.0]",3,bethammi nursing home,,,,,Thunder Bay,3558004,35,48.44135877,-89.24131667
23 Second Street,Central,Bethany Lodge,,Non-Profit,No,Yes,Yes,No,Markham, L3R2C2,128,16,"(0.0, 21.0]",0,12,"(11.0, 16.0]",1,4,"(0.0, 5.0]",0,bethany lodge,<5,<5,<5,Active,Markham,3519036,35,43.86204073,-79.30139068
3700 Billings Court,Hamilton Niagara Haldimand Brant (Hnhb),Maryban Holdings Ltd.,,For-Profit,No,Yes,Yes,Yes,Burlington, L7N3N6,160,24,"(21.0, 31.0]",1,16,"(11.0, 16.0]",1,8,"(7.0, 11.0]",2,billings court manor,,,,,Burlington,3524002,35,43.36439192,-79.78777539
237 Lakeview Drive R. R. #1,North West,Southbridge Capital,Extendicare Assist,For-Profit,Yes,Yes,Yes,Yes,Kenora, P9N4J7,96,53,"(46.0, 172.0]",3,31,"(23.0, 86.0]",3,14,"(11.0, 44.0]",3,birchwood terrace,,,,,Kenora,3560010,35,49.76559284,-94.504978
101 Creighton Road,Hamilton Niagara Haldimand Brant (Hnhb),Blackadar Continuing Care Centre Inc.,,For-Profit,No,Yes,No,No,Dundas, L9H3B7,80,31,"(21.0, 31.0]",1,19,"(16.0, 23.0]",2,9,"(7.0, 11.0]",2,blackadar continuing care centre,<5,0,0,Active,Hamilton,3525005,35,43.26120069,-79.96830854
10 Mary Avenue,Erie St. Clair,Revera Long Term Care Inc.,,For-Profit,No,Yes,Yes,Yes,Blenheim, N0P1A0,65,33,"(31.0, 46.0]",2,11,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,blenheim community village,,,,,Chatham-Kent,3536020,35,42.33971663,-81.98799919
13621 Ninth  Line RR #2,Central,Specialty Care Inc.,,For-Profit,Yes,Yes,Yes,Yes,Stouffville, L4A7X3,112,39,"(31.0, 46.0]",2,18,"(16.0, 23.0]",2,11,"(7.0, 11.0]",2,bloomington cove care community,,,,,Whitchurch-Stouffville,3519044,35,44.00278365,-79.26290138
37792 Zurich-Hensall RD,South West,Blue Water Rest Home,,Non-Profit,No,Yes,No,No,Zurich, N0M2T0,65,21,"(0.0, 21.0]",0,13,"(11.0, 16.0]",1,4,"(0.0, 5.0]",0,blue water rest home,<5,0,0,Active,Bluewater,3540010,35,43.41978964,-81.63774028
1 Royal Parkside Drive,North Simcoe Muskoka,The Ontario Mission Of The Deaf,,Non-Profit,No,Yes,Yes,No,Barrie, L4M0C4,64,35,"(31.0, 46.0]",2,17,"(16.0, 23.0]",2,7,"(5.0, 7.0]",1,bob rumball home for the deaf,,,,,Barrie,3543042,35,44.3641363,-79.62310322
1 Bobier Lane,South West,The Corporation Of The County Of Elgin Municipal Homes,,Municipal,Yes,Yes,Yes,No,Dutton, N0L1J0,57,19,"(0.0, 21.0]",0,8,"(0.0, 11.0]",0,2,"(0.0, 5.0]",0,bobier villa,,,,,Dutton/Dunwich,3534030,35,42.66709281,-81.51387127
525 Causley Street P.O. Box 970,North East,North Shore Health Network,,Non-Profit,No,Yes,No,Yes,Blind River, P0R1B0,10,12,"(0.0, 21.0]",0,6,"(0.0, 11.0]",0,2,"(0.0, 5.0]",0,north shore health network – eldcap unit,,,,,,,,46.187894,-82.923473
470 Albert Street,Champlain,County Of Renfrew,,Municipal,Yes,Yes,Yes,Yes,Renfrew, K7V4L5,180,43,"(31.0, 46.0]",2,18,"(16.0, 23.0]",2,11,"(7.0, 11.0]",2,bonnechere manor,0,0,<5,Active,Renfrew,3547048,35,45.48345932,-76.70256458
2656 6th Line,Central,Specialty Care - Bradford Inc.,,For-Profit,No,Yes,Yes,Yes,Bradford, L3Z3H5,246,40,"(31.0, 46.0]",2,19,"(16.0, 23.0]",2,8,"(7.0, 11.0]",2,bradford valley care community,<5,11,0,Active,Bradford West Gwillimbury,3543014,35,44.09967975,-79.57244678
"719 Josephine Street North,  R.R. #1 P.O. Box 1060",South West,Macgowan Nursing Homes Ltd.,,For-Profit,No,Yes,No,Yes,Wingham, N0G2W0,69,39,"(31.0, 46.0]",2,14,"(11.0, 16.0]",1,6,"(5.0, 7.0]",1,braemar retirement centre,0,0,0,Active,Morris-Turnberry,3540050,35,43.90065854,-81.30031372
425 Park Road North,Hamilton Niagara Haldimand Brant (Hnhb),Revera Long Term Care Inc.,,For-Profit,No,Yes,Yes,Yes,Brantford, N3R7G5,79,55,"(46.0, 172.0]",3,15,"(11.0, 16.0]",1,9,"(7.0, 11.0]",2,brierwood gardens,,,,,Brantford,3529006,35,43.17853986,-80.24747732
210 Brockville Street,South East,Broadview Nursing Centre Limited,,For-Profit,No,Yes,No,No,Smiths Falls, K7A3Z4,75,31,"(21.0, 31.0]",1,18,"(16.0, 23.0]",2,10,"(7.0, 11.0]",2,broadview nursing centre,,,,,Smiths Falls,3509004,35,44.88786035,-76.0208378
11900 Brouillette Court,Erie St. Clair,1230839 Ontario Limited,,For-Profit,No,Yes,Yes,Yes,Tecumseh, N8N4X8,60,33,"(31.0, 46.0]",2,13,"(11.0, 16.0]",1,4,"(0.0, 5.0]",0,brouillette manor,,,,,Tecumseh,3537048,35,42.3064019,-82.8920717
41 McGivern Street West P.O. Box 1600,South West,Corporation Of The County Of Bruce,,Municipal,No,Yes,No,No,Walkerton, N0G2V0,144,79,"(46.0, 172.0]",3,28,"(23.0, 86.0]",3,17,"(11.0, 44.0]",3,brucelea haven long term care home - corporation of the county of bruce,0,0,<5,Active,Brockton,3541032,35,44.12121858,-81.15427199
5959 New Street,Hamilton Niagara Haldimand Brant (Hnhb),Axr Operating (National) Lp,,For-Profit,No,Yes,Yes,Yes,Burlington, L7L6W5,144,22,"(21.0, 31.0]",1,9,"(0.0, 11.0]",0,6,"(5.0, 7.0]",1,burloak,,,,,Burlington,3524002,35,43.38147032,-79.73937757
320 Burnbrae Road East P.O. Box 1090,Central East,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,No,Yes,Yes,Yes,Campbellford, K0L1L0,43,28,"(21.0, 31.0]",1,16,"(11.0, 16.0]",1,5,"(0.0, 5.0]",0,burnbrae gardens long term care residence,,,,,Trent Hills,3514045,35,44.28480207,-77.84842135
5 Sterritt Drive,Central West,1245556 Ontario Inc.,Primacare Living Solutions Inc.,For-Profit,No,Yes,Yes,Yes,Brampton, L6Y5P3,128,27,"(21.0, 31.0]",1,9,"(0.0, 11.0]",0,6,"(5.0, 7.0]",1,burton manor,11,8,14,Active,Brampton,3521010,35,43.66143557,-79.77341911
159 Panin Road,Hamilton Niagara Haldimand Brant (Hnhb),The Central Canadian District Of The Christian And Missionary Alliance In Canada,,Non-Profit,No,Yes,Yes,No,Burlington, L7P5A6,134,16,"(0.0, 21.0]",0,10,"(0.0, 11.0]",0,2,"(0.0, 5.0]",0,cama woodlands nursing home,,,,,Burlington,3524002,35,43.3099325,-79.86719201
3680 Speedsville Road R R 31,Waterloo Wellington,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,No,Yes,Yes,Yes,Cambridge, N3H4R6,80,35,"(31.0, 46.0]",2,19,"(16.0, 23.0]",2,8,"(7.0, 11.0]",2,cambridge country manor,,,,,Cambridge,3530010,35,43.4552726,-80.3577529
2250 Hurontario Street,Mississauga Halton,Vigour Limited Partnership On Behalf Of Vigour General Partner Inc.,,For-Profit,Yes,Yes,Yes,Yes,Mississauga, L5B1M8,237,52,"(46.0, 172.0]",3,24,"(23.0, 86.0]",3,10,"(7.0, 11.0]",2,camilla care community,152,48,44,Active,Mississauga,3521005,35,43.57311436,-79.60700205
306 Finch Avenue East,Central,Toronto Long-term Care Homes And Services,,Municipal,No,Yes,Yes,Yes,North York, M2N4S5,127,18,"(0.0, 21.0]",0,12,"(11.0, 16.0]",1,7,"(5.0, 7.0]",1,carefree lodge,<5,0,0,Active,Toronto,3520005,35,43.78501831,-79.3941154
215 Eliza Street P.O. Box 700,Waterloo Wellington,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,No,Yes,Yes,Yes,Arthur, N0G1A0,80,65,"(46.0, 172.0]",3,28,"(23.0, 86.0]",3,9,"(7.0, 11.0]",2,caressant care arthur nursing home,,,,,Wellington North,3523050,35,43.83174956,-80.53012776
2279 Laval Street P.O. Box 99,Champlain,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,No,Yes,Yes,Yes,Bourget, K0A1E0,60,116,"(46.0, 172.0]",3,56,"(23.0, 86.0]",3,24,"(11.0, 44.0]",3,caressant care bourget,,,,,Clarence-Rockland,3502036,35,45.43608988,-75.15507656
525 Causley Street P. O. Box 970,North East,North Shore Health Network,,Non-Profit,No,Yes,Yes,Yes,Blind River, P0R1B0,22,15,"(0.0, 21.0]",0,7,"(0.0, 11.0]",0,3,"(0.0, 5.0]",0,north shore health network – ltc unit,,,,,,,,46.187894,-82.923473
4850 Hwy #59 P.O. Box 279,South West,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,No,Yes,No,Yes,Courtland, N0J1E0,55,33,"(31.0, 46.0]",2,12,"(11.0, 16.0]",1,8,"(7.0, 11.0]",2,caressant care courtland,0,0,<5,Active,Norfolk County,3528052,35,42.83110128,-80.63239781
450 Queen Street East,Waterloo Wellington,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,No,Yes,Yes,Yes,Fergus, N1M2Y7,87,68,"(46.0, 172.0]",3,45,"(23.0, 86.0]",3,26,"(11.0, 44.0]",3,caressant care fergus nursing home,,0,,Inactive,Centre Wellington,3523025,35,43.70904655,-80.3698587
131 Laidlaw Street South,Central East,"Dtoc Ii Long Term Care Lp, By Its General Partner, Dtoc Ii Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Ii Long Term Care Gp Inc. And Arch Venture Holdings Inc.",Responsive Health Management Inc.,For-Profit,Yes,Yes,Yes,Yes,Cannington, L0E1E0,57,21,"(0.0, 21.0]",0,11,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,bon air long term care residence,,,,,,,,44.346092,-79.036618
240 Mary Street West,Central East,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,No,Yes,No,Yes,Lindsay, K9V5K5,124,49,"(46.0, 172.0]",3,25,"(23.0, 86.0]",3,12,"(11.0, 44.0]",3,caressant care lindsay nursing home,<5,0,<5,Active,Kawartha Lakes,3516010,35,44.34327843,-78.75034644
710 Reserve Avenue South,South West,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Yes,Yes,No,Yes,Listowel, N4W2L1,52,28,"(21.0, 31.0]",1,13,"(11.0, 16.0]",1,4,"(0.0, 5.0]",0,caressant care listowel nursing home,,,,,North Perth,3531040,35,43.72273922,-80.95335159
58 Bursthall Street P.O. Box 429,South East,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,No,Yes,Yes,Yes,Marmora, K0K2M0,84,47,"(46.0, 172.0]",3,27,"(23.0, 86.0]",3,15,"(11.0, 44.0]",3,caressant care marmora,,,,,Marmora and Lake,3512046,35,44.48072361,-77.67733231
15 Bonnie Place,South West,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,No,Yes,No,Yes,St Thomas, N5R5T8,116,87,"(46.0, 172.0]",3,34,"(23.0, 86.0]",3,15,"(11.0, 44.0]",3,caressant care on bonnie place,,0,,Inactive,St. Thomas,3534021,35,42.77305945,-81.16165267
4 Mary Bucke Street,South West,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,No,Yes,No,Yes,St. Thomas, N5R5J6,60,36,"(31.0, 46.0]",2,13,"(11.0, 16.0]",1,7,"(5.0, 7.0]",1,caressant care on mary bucke,,,,,St. Thomas,3534021,35,42.76681534,-81.16897487
114 McLaughlin Road,Central East,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,No,Yes,Yes,Yes,Lindsay, K9V6L1,96,38,"(31.0, 46.0]",2,18,"(16.0, 23.0]",2,5,"(0.0, 5.0]",0,caressant care on mclaughlin road,,,,,Kawartha Lakes,3516010,35,44.3447647,-78.7610205
81 Fyfe Avenue,South West,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Yes,Yes,Yes,Yes,Woodstock, N4S8Y2,163,95,"(46.0, 172.0]",3,51,"(23.0, 86.0]",3,21,"(11.0, 44.0]",3,caressant care woodstock nursing home,,,,,Woodstock,3532042,35,43.12334673,-80.74298547
55 Lodge Road R. R. #2,Champlain,City Of Ottawa,,Municipal,No,Yes,Yes,Yes,Nepean, K2C3H1,161,29,"(21.0, 31.0]",1,23,"(16.0, 23.0]",2,10,"(7.0, 11.0]",2,carleton lodge,,,,,Ottawa,3506008,35,45.26559733,-75.70705903
2330 Carling Avenue,Champlain,Carlingview Manor Operating Inc.,,For-Profit,No,Yes,Yes,Yes,Ottawa, K2B7H1,303,105,"(46.0, 172.0]",3,57,"(23.0, 86.0]",3,31,"(11.0, 44.0]",3,carlingview manor,93,39,61,Active,Ottawa,3506008,35,45.36711344,-75.77672586
375 James Street,South East,Carveth Nursing Home Limited,,For-Profit,No,Yes,Yes,Yes,Gananoque, K7G2Z1,104,29,"(21.0, 31.0]",1,19,"(16.0, 23.0]",2,6,"(5.0, 7.0]",1,carveth care centre,,,,,Gananoque,3507024,35,44.33633895,-76.1592067
28 Boyd Street P.O. Box 670,Central East,Specialty Care Case Manor Inc.,,For-Profit,No,Yes,Yes,Yes,Bobcaygeon, K0M1A0,96,24,"(21.0, 31.0]",1,17,"(16.0, 23.0]",2,9,"(7.0, 11.0]",2,case manor care community,,0,,Inactive,Kawartha Lakes,3516010,35,44.54008478,-78.54103519
400 Olive Street,North East,Board Of Management Of The District Of Nipissing East,,Municipal,Yes,Yes,Yes,Yes,North Bay, P1B6J4,240,47,"(46.0, 172.0]",3,25,"(23.0, 86.0]",3,16,"(11.0, 44.0]",3,cassellholme,<5,0,0,Active,North Bay,3548044,35,46.31926603,-79.44608166
351 Christie Street,Toronto Central,Toronto Long-term Care Homes And Services,,Municipal,Yes,Yes,Yes,Yes,Toronto, M6G3C3,456,78,"(46.0, 172.0]",3,27,"(23.0, 86.0]",3,12,"(11.0, 44.0]",3,castleview wychwood towers,0,0,<5,Active,Toronto,3520005,35,43.67317759,-79.4217856
590 Lolita Gardens,Mississauga Halton,Delcare Ltc Inc.,Chartwell Seniors Housing Reit,For-Profit,No,Yes,Yes,Yes,Mississauga, L5A4N8,192,27,"(21.0, 31.0]",1,17,"(16.0, 23.0]",2,7,"(5.0, 7.0]",1,cawthra gardens,,,,,Mississauga,3521005,35,43.59302306,-79.60362445
121 Morton Avenue,Central,Specialty Care Inc.,,For-Profit,No,Yes,Yes,Yes,Keswick, L4P2M5,60,19,"(0.0, 21.0]",0,14,"(11.0, 16.0]",1,10,"(7.0, 11.0]",2,cedarvale lodge retirement and care community,,,,,Georgina,3519070,35,44.232338,-79.456847
429 Walmer Road,Toronto Central,Cedarvale Terrace Ltc Inc. As General Partner Of Cedarvale Terrace Ltc Limited Partnership,,For-Profit,Yes,Yes,Yes,Yes,Toronto, M5P2X9,218,65,"(46.0, 172.0]",3,25,"(23.0, 86.0]",3,16,"(11.0, 44.0]",3,cedarvale terrace,0,0,<5,Active,Toronto,3520005,35,43.68545859,-79.4124234
860 Great Northern Road,North East,Autumnwood Mature Lifestyle Communities Inc.,Universalcare Canada Inc.,For-Profit,No,Yes,Yes,No,Sault Ste. Marie, P6A5K7,50,37,"(31.0, 46.0]",2,37,"(23.0, 86.0]",3,5,"(0.0, 5.0]",0,cedarwood lodge,,,,,Sault Ste. Marie,3557061,35,46.55200831,-84.31955276
500 Queensway West,Hamilton Niagara Haldimand Brant (Hnhb),Maplewood Nursing Home Limited,,For-Profit,Yes,Yes,Yes,Yes,Simcoe, N3Y4R4,91,34,"(31.0, 46.0]",2,25,"(23.0, 86.0]",3,13,"(11.0, 44.0]",3,cedarwood village,,,,,Norfolk County,3528052,35,42.8408326,-80.32971141
2 Centennial Lane North,Central East,Centennial Place Millbrook Inc.,,For-Profit,No,Yes,No,Yes,Millbrook, L0A1G0,128,29,"(21.0, 31.0]",1,19,"(16.0, 23.0]",2,7,"(5.0, 7.0]",1,centennial place long-term care home,,,,,Cavan Monaghan,3515013,35,44.1562909,-78.4477515
275 Perrier Street,Champlain,City Of Ottawa,,Municipal,No,Yes,Yes,Yes,Vanier, K1L5C6,160,122,"(46.0, 172.0]",3,86,"(23.0, 86.0]",3,44,"(11.0, 44.0]",3,centre d'accueil champlain,0,0,<5,Active,Ottawa,3506008,35,45.44308406,-75.66040993
435 Lemay Street,Champlain,Centre D'accueil Roger Seguin,,Non-Profit,Yes,Yes,Yes,No,Clarence Creek, K0A1N0,110,51,"(46.0, 172.0]",3,30,"(23.0, 86.0]",3,20,"(11.0, 44.0]",3,centre d'accueil roger seguin,,0,,Inactive,Clarence-Rockland,3502036,35,45.51025689,-75.21616879
12 Wren Drive P.O. Box 430,Champlain,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,No,Yes,No,Yes,Cobden, K0J1K0,64,22,"(21.0, 31.0]",1,10,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,caressant care cobden,,,,,,,,45.628945,-76.886951
32 Mill Street,Central,Chartwell Master Care Lp,,For-Profit,Yes,Yes,Yes,Yes,Aurora, L4G2R9,235,28,"(21.0, 31.0]",1,13,"(11.0, 16.0]",1,8,"(7.0, 11.0]",2,chartwell aurora long term care residence,31,11,5,Active,Aurora,3519046,35,43.99779774,-79.47131474
465 Talbot Street West,South West,Chartwell Master Care Lp,,For-Profit,No,Yes,No,Yes,Aylmer, N5H1K8,64,30,"(21.0, 31.0]",1,10,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,chartwell aylmer long term care residence,,,,,Aylmer,3534011,35,42.77395085,-80.99760032
