,address,LHIN,home type,short stay,residents council,family council,accreditation,city,postal code,total_inspections,quartiles_total_range,quartiles_total_rank,5y_inspections,quartiles_5y_range,quartiles_5y_rank,2y_inspections,quartiles_2y_range,quartiles_2y_rank,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,CSDname,CSDuid,number_beds,lati,long
13,355 Broadway Avenue,Central West,For-Profit,Yes,Yes,Yes,Yes,Orangeville, L9W3Y3,30.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,10.0,"(7.0, 11.0]",2.0,avalon retirement centre,0,0,<5,Active,Orangeville,3522014.0,137.0,43.9169995,-80.11650514
14,196 Wellington Street P. O. Box 190,South West,For-Profit,No,Yes,Yes,Yes,Wardsville, N0L2N0,32.0,"(31.0, 46.0]",2.0,17.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,babcock community care centre,,,,,Southwest Middlesex,3539005.0,60.0,42.658399700000004,-81.75796234
15,3000 Banwell Road,Erie St. Clair,For-Profit,Yes,Yes,Yes,Yes,Tecumseh, N8N2M4,74.0,"(46.0, 172.0]",3.0,36.0,"(23.0, 86.0]",3.0,16.0,"(11.0, 44.0]",3.0,banwell gardens care centre,,,,,Windsor,3537039.0,142.0,42.31060008,-82.89979807
16,120 Barnswallow Drive,Waterloo Wellington,For-Profit,No,Yes,No,Yes,Elmira, N3B2Y9,17.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,barnswallow place care community,,,,,Woolwich,3530035.0,96.0,43.59297082,-80.57796106
17,499 Hume Street,North Simcoe Muskoka,For-Profit,No,Yes,No,No,Collingwood, L9Y4H8,14.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,bay haven nursing home,,,,,Collingwood,3543031.0,60.0,44.49946329,-80.19803202
18,900 Sandy Beach Road,Central East,For-Profit,No,Yes,Yes,Yes,Pickering, L1W1Z4,53.0,"(46.0, 172.0]",3.0,26.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,bay ridges,,0,,Inactive,Pickering,3518001.0,124.0,43.82847003,-79.0771309
19,100 Elvira Street P.O. Bag 3000,Champlain,For-Profit,No,Yes,Yes,No,Kemptville, K0G1J0,22.0,"(21.0, 31.0]",1.0,17.0,"(16.0, 23.0]",2.0,4.0,"(0.0, 5.0]",0.0,bayfield manor,,,,,North Grenville,3507065.0,66.0,45.01874519,-75.65323739
20,330 Main Street East,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Hamilton, L8N3T9,46.0,"(31.0, 46.0]",2.0,17.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,baywoods place,,,,,Hamilton,3525005.0,128.0,43.25176169,-79.85694240000001
21,5050 Hillside Drive,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No,Beamsville, L0R1B2,39.0,"(31.0, 46.0]",2.0,25.0,"(23.0, 86.0]",3.0,15.0,"(11.0, 44.0]",3.0,"albright gardens homes, incorporated",,0,,Inactive,,,231.0,43.151976,-79.47636800000001
22,55 Belmont Street,Toronto Central,Non-Profit,No,Yes,Yes,Yes,Toronto, M5R1R1,13.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,belmont house,,0,,Inactive,Toronto,3520005.0,140.0,43.67461349,-79.39106979
23,250 Bridge Street West,South East,For-Profit,No,Yes,No,Yes,Belleville, K8P5N3,35.0,"(31.0, 46.0]",2.0,20.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,belmont long term care facility,,0,,Inactive,Belleville,3512005.0,128.0,44.16007616,-77.40393509
24,21 Belvedere Avenue,North East,Municipal,No,Yes,Yes,Yes,Parry Sound, P2A2A2,40.0,"(31.0, 46.0]",2.0,23.0,"(16.0, 23.0]",2.0,13.0,"(11.0, 44.0]",3.0,belvedere heights,,,,,Parry Sound,3549032.0,101.0,45.34272524,-80.03862375
25,2920 Lawrence Avenue East,Central East,Municipal,Yes,Yes,Yes,Yes,Scarborough, M1P2T8,35.0,"(31.0, 46.0]",2.0,17.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,bendale acres,0,0,0,Active,Toronto,3520005.0,302.0,43.75493801,-79.25183955
26,1 Princess Anne Drive,Mississauga Halton,Non-Profit,No,Yes,Yes,Yes,Georgetown, L7G2B8,24.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,bennett health care centre,,,,,Halton Hills,3524015.0,66.0,43.64477486,-79.93394806
27,350 Dougall Avenue,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Windsor, N9A4P4,172.0,"(46.0, 172.0]",3.0,72.0,"(23.0, 86.0]",3.0,25.0,"(11.0, 44.0]",3.0,berkshire care centre,0,0,<5,Active,Windsor,3537039.0,231.0,42.31631637,-83.04161991
28,63 Carrie Street,North West,Non-Profit,No,Yes,Yes,Yes,Thunder Bay, P7A4J2,35.0,"(31.0, 46.0]",2.0,29.0,"(23.0, 86.0]",3.0,19.0,"(11.0, 44.0]",3.0,bethammi nursing home,,,,,Thunder Bay,3558004.0,110.0,48.44135877,-89.24131667
29,23 Second Street,Central,Non-Profit,No,Yes,Yes,No,Markham, L3R2C2,16.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,bethany lodge,<5,<5,<5,Active,Markham,3519036.0,128.0,43.86204073,-79.30139068
30,3700 Billings Court,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Burlington, L7N3N6,24.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,billings court manor,,,,,Burlington,3524002.0,160.0,43.36439192,-79.78777539
31,237 Lakeview Drive R. R. #1,North West,For-Profit,Yes,Yes,Yes,Yes,Kenora, P9N4J7,53.0,"(46.0, 172.0]",3.0,31.0,"(23.0, 86.0]",3.0,14.0,"(11.0, 44.0]",3.0,birchwood terrace,,,,,Kenora,3560010.0,96.0,49.76559284,-94.50497800000001
32,101 Creighton Road,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,No,No,Dundas, L9H3B7,31.0,"(21.0, 31.0]",1.0,19.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,blackadar continuing care centre,<5,0,0,Active,Hamilton,3525005.0,80.0,43.26120069,-79.96830854
33,10 Mary Avenue,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Blenheim, N0P1A0,33.0,"(31.0, 46.0]",2.0,11.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,blenheim community village,,,,,Chatham-Kent,3536020.0,65.0,42.33971663,-81.98799919
34,13621 Ninth  Line RR #2,Central,For-Profit,Yes,Yes,Yes,Yes,Stouffville, L4A7X3,39.0,"(31.0, 46.0]",2.0,18.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,bloomington cove care community,,,,,Whitchurch-Stouffville,3519044.0,112.0,44.00278365,-79.26290138
35,37792 Zurich-Hensall RD,South West,Non-Profit,No,Yes,No,No,Zurich, N0M2T0,21.0,"(0.0, 21.0]",0.0,13.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,blue water rest home,<5,0,0,Active,Bluewater,3540010.0,65.0,43.41978964,-81.63774028
36,1 Royal Parkside Drive,North Simcoe Muskoka,Non-Profit,No,Yes,Yes,No,Barrie, L4M0C4,35.0,"(31.0, 46.0]",2.0,17.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,bob rumball home for the deaf,,,,,Barrie,3543042.0,64.0,44.3641363,-79.62310322
37,1 Bobier Lane,South West,Municipal,Yes,Yes,Yes,No,Dutton, N0L1J0,19.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,bobier villa,,,,,Dutton/Dunwich,3534030.0,57.0,42.66709281,-81.51387127
38,525 Causley Street P.O. Box 970,North East,Non-Profit,No,Yes,No,Yes,Blind River, P0R1B0,12.0,"(0.0, 21.0]",0.0,6.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,north shore health network â€“ eldcap unit,,,,,,,10.0,46.187894,-82.923473
39,470 Albert Street,Champlain,Municipal,Yes,Yes,Yes,Yes,Renfrew, K7V4L5,43.0,"(31.0, 46.0]",2.0,18.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,bonnechere manor,0,0,<5,Active,Renfrew,3547048.0,180.0,45.48345932,-76.70256458
40,2656 6th Line,Central,For-Profit,No,Yes,Yes,Yes,Bradford, L3Z3H5,40.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,bradford valley care community,<5,11,0,Active,Bradford West Gwillimbury,3543014.0,246.0,44.09967975,-79.57244678
41,"719 Josephine Street North,  R.R. #1 P.O. Box 1060",South West,For-Profit,No,Yes,No,Yes,Wingham, N0G2W0,39.0,"(31.0, 46.0]",2.0,14.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,braemar retirement centre,0,0,0,Active,Morris-Turnberry,3540050.0,69.0,43.90065854,-81.30031372
42,425 Park Road North,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Brantford, N3R7G5,55.0,"(46.0, 172.0]",3.0,15.0,"(11.0, 16.0]",1.0,9.0,"(7.0, 11.0]",2.0,brierwood gardens,,,,,Brantford,3529006.0,79.0,43.17853986,-80.24747732
43,210 Brockville Street,South East,For-Profit,No,Yes,No,No,Smiths Falls, K7A3Z4,31.0,"(21.0, 31.0]",1.0,18.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,broadview nursing centre,,,,,Smiths Falls,3509004.0,75.0,44.88786035,-76.02083780000001
44,11900 Brouillette Court,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Tecumseh, N8N4X8,33.0,"(31.0, 46.0]",2.0,13.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,brouillette manor,,,,,Tecumseh,3537048.0,60.0,42.3064019,-82.8920717
45,41 McGivern Street West P.O. Box 1600,South West,Municipal,No,Yes,No,No,Walkerton, N0G2V0,79.0,"(46.0, 172.0]",3.0,28.0,"(23.0, 86.0]",3.0,17.0,"(11.0, 44.0]",3.0,brucelea haven long term care home - corporation of the county of bruce,0,0,<5,Active,Brockton,3541032.0,144.0,44.12121858,-81.15427199
46,5959 New Street,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Burlington, L7L6W5,22.0,"(21.0, 31.0]",1.0,9.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,burloak,,,,,Burlington,3524002.0,144.0,43.38147032,-79.73937757
47,320 Burnbrae Road East P.O. Box 1090,Central East,For-Profit,No,Yes,Yes,Yes,Campbellford, K0L1L0,28.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,burnbrae gardens long term care residence,,,,,Trent Hills,3514045.0,43.0,44.28480207,-77.84842135
48,5 Sterritt Drive,Central West,For-Profit,No,Yes,Yes,Yes,Brampton, L6Y5P3,27.0,"(21.0, 31.0]",1.0,9.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,burton manor,11,8,14,Active,Brampton,3521010.0,128.0,43.66143557,-79.77341911
49,159 Panin Road,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No,Burlington, L7P5A6,16.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,cama woodlands nursing home,,,,,Burlington,3524002.0,134.0,43.3099325,-79.86719201
50,3680 Speedsville Road R R 31,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,Cambridge, N3H4R6,35.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,cambridge country manor,,,,,Cambridge,3530010.0,80.0,43.4552726,-80.35775290000001
51,2250 Hurontario Street,Mississauga Halton,For-Profit,Yes,Yes,Yes,Yes,Mississauga, L5B1M8,52.0,"(46.0, 172.0]",3.0,24.0,"(23.0, 86.0]",3.0,10.0,"(7.0, 11.0]",2.0,camilla care community,152,48,44,Active,Mississauga,3521005.0,236.0,43.57311436,-79.60700205
52,306 Finch Avenue East,Central,Municipal,No,Yes,Yes,Yes,North York, M2N4S5,18.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,carefree lodge,<5,0,0,Active,Toronto,3520005.0,127.0,43.78501831,-79.3941154
53,215 Eliza Street P.O. Box 700,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,Arthur, N0G1A0,65.0,"(46.0, 172.0]",3.0,28.0,"(23.0, 86.0]",3.0,9.0,"(7.0, 11.0]",2.0,caressant care arthur nursing home,,,,,Wellington North,3523050.0,80.0,43.83174956,-80.53012776
54,2279 Laval Street P.O. Box 99,Champlain,For-Profit,No,Yes,Yes,Yes,Bourget, K0A1E0,116.0,"(46.0, 172.0]",3.0,56.0,"(23.0, 86.0]",3.0,24.0,"(11.0, 44.0]",3.0,caressant care bourget,,,,,Clarence-Rockland,3502036.0,60.0,45.43608988,-75.15507656
55,525 Causley Street P. O. Box 970,North East,Non-Profit,No,Yes,Yes,Yes,Blind River, P0R1B0,15.0,"(0.0, 21.0]",0.0,7.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,north shore health network â€“ ltc unit,,,,,,,22.0,46.187894,-82.923473
56,4850 Hwy #59 P.O. Box 279,South West,For-Profit,No,Yes,No,Yes,Courtland, N0J1E0,33.0,"(31.0, 46.0]",2.0,12.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,caressant care courtland,0,0,<5,Active,Norfolk County,3528052.0,55.0,42.83110128,-80.63239781
57,450 Queen Street East,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,Fergus, N1M2Y7,68.0,"(46.0, 172.0]",3.0,45.0,"(23.0, 86.0]",3.0,26.0,"(11.0, 44.0]",3.0,caressant care fergus nursing home,,0,,Inactive,Centre Wellington,3523025.0,87.0,43.70904655,-80.36985870000001
58,131 Laidlaw Street South,Central East,For-Profit,Yes,Yes,Yes,Yes,Cannington, L0E1E0,21.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,bon air long term care residence,,,,,,,57.0,44.346092,-79.036618
59,240 Mary Street West,Central East,For-Profit,No,Yes,No,Yes,Lindsay, K9V5K5,49.0,"(46.0, 172.0]",3.0,25.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,caressant care lindsay nursing home,<5,0,<5,Active,Kawartha Lakes,3516010.0,124.0,44.34327843,-78.75034644
60,710 Reserve Avenue South,South West,For-Profit,Yes,Yes,No,Yes,Listowel, N4W2L1,28.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,caressant care listowel nursing home,,,,,North Perth,3531040.0,52.0,43.72273922,-80.95335159
61,58 Bursthall Street P.O. Box 429,South East,For-Profit,No,Yes,Yes,Yes,Marmora, K0K2M0,47.0,"(46.0, 172.0]",3.0,27.0,"(23.0, 86.0]",3.0,15.0,"(11.0, 44.0]",3.0,caressant care marmora,,,,,Marmora and Lake,3512046.0,84.0,44.48072361,-77.67733231
62,15 Bonnie Place,South West,For-Profit,No,Yes,No,Yes,St Thomas, N5R5T8,87.0,"(46.0, 172.0]",3.0,34.0,"(23.0, 86.0]",3.0,15.0,"(11.0, 44.0]",3.0,caressant care on bonnie place,,0,,Inactive,St. Thomas,3534021.0,116.0,42.77305945,-81.16165267
63,4 Mary Bucke Street,South West,For-Profit,No,Yes,No,Yes,St. Thomas, N5R5J6,36.0,"(31.0, 46.0]",2.0,13.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,caressant care on mary bucke,,,,,St. Thomas,3534021.0,60.0,42.76681534,-81.16897487
64,114 McLaughlin Road,Central East,For-Profit,No,Yes,Yes,Yes,Lindsay, K9V6L1,38.0,"(31.0, 46.0]",2.0,18.0,"(16.0, 23.0]",2.0,5.0,"(0.0, 5.0]",0.0,caressant care on mclaughlin road,,,,,Kawartha Lakes,3516010.0,96.0,44.344764700000006,-78.7610205
65,81 Fyfe Avenue,South West,For-Profit,Yes,Yes,Yes,Yes,Woodstock, N4S8Y2,95.0,"(46.0, 172.0]",3.0,51.0,"(23.0, 86.0]",3.0,21.0,"(11.0, 44.0]",3.0,caressant care woodstock nursing home,,,,,Woodstock,3532042.0,163.0,43.12334673,-80.74298547
66,55 Lodge Road R. R. #2,Champlain,Municipal,No,Yes,Yes,Yes,Nepean, K2C3H1,29.0,"(21.0, 31.0]",1.0,23.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,carleton lodge,,,,,Ottawa,3506008.0,161.0,45.26559733,-75.70705903
67,2330 Carling Avenue,Champlain,For-Profit,No,Yes,Yes,Yes,Ottawa, K2B7H1,105.0,"(46.0, 172.0]",3.0,57.0,"(23.0, 86.0]",3.0,31.0,"(11.0, 44.0]",3.0,carlingview manor,93,39,61,Active,Ottawa,3506008.0,303.0,45.36711344,-75.77672586
68,375 James Street,South East,For-Profit,No,Yes,Yes,Yes,Gananoque, K7G2Z1,29.0,"(21.0, 31.0]",1.0,19.0,"(16.0, 23.0]",2.0,6.0,"(5.0, 7.0]",1.0,carveth care centre,,,,,Gananoque,3507024.0,104.0,44.33633895,-76.1592067
69,28 Boyd Street P.O. Box 670,Central East,For-Profit,No,Yes,Yes,Yes,Bobcaygeon, K0M1A0,24.0,"(21.0, 31.0]",1.0,17.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,case manor care community,,0,,Inactive,Kawartha Lakes,3516010.0,96.0,44.54008478,-78.54103519
70,400 Olive Street,North East,Municipal,Yes,Yes,Yes,Yes,North Bay, P1B6J4,47.0,"(46.0, 172.0]",3.0,25.0,"(23.0, 86.0]",3.0,16.0,"(11.0, 44.0]",3.0,cassellholme,<5,0,0,Active,North Bay,3548044.0,240.0,46.31926603,-79.44608166
71,351 Christie Street,Toronto Central,Municipal,Yes,Yes,Yes,Yes,Toronto, M6G3C3,78.0,"(46.0, 172.0]",3.0,27.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,castleview wychwood towers,0,0,<5,Active,Toronto,3520005.0,456.0,43.67317759,-79.42178559999999
72,590 Lolita Gardens,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,Mississauga, L5A4N8,27.0,"(21.0, 31.0]",1.0,17.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,cawthra gardens,,,,,Mississauga,3521005.0,192.0,43.59302306,-79.60362445
73,121 Morton Avenue,Central,For-Profit,No,Yes,Yes,Yes,Keswick, L4P2M5,19.0,"(0.0, 21.0]",0.0,14.0,"(11.0, 16.0]",1.0,10.0,"(7.0, 11.0]",2.0,cedarvale lodge retirement and care community,,,,,Georgina,3519070.0,60.0,44.232338,-79.456847
74,429 Walmer Road,Toronto Central,For-Profit,Yes,Yes,Yes,Yes,Toronto, M5P2X9,65.0,"(46.0, 172.0]",3.0,25.0,"(23.0, 86.0]",3.0,16.0,"(11.0, 44.0]",3.0,cedarvale terrace,0,0,<5,Active,Toronto,3520005.0,218.0,43.68545859,-79.41242340000001
75,860 Great Northern Road,North East,For-Profit,No,Yes,Yes,No,Sault Ste. Marie, P6A5K7,37.0,"(31.0, 46.0]",2.0,37.0,"(23.0, 86.0]",3.0,5.0,"(0.0, 5.0]",0.0,cedarwood lodge,,,,,Sault Ste. Marie,3557061.0,50.0,46.55200831,-84.31955276
76,500 Queensway West,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,Simcoe, N3Y4R4,34.0,"(31.0, 46.0]",2.0,25.0,"(23.0, 86.0]",3.0,13.0,"(11.0, 44.0]",3.0,cedarwood village,,,,,Norfolk County,3528052.0,91.0,42.8408326,-80.32971141
77,2 Centennial Lane North,Central East,For-Profit,No,Yes,No,Yes,Millbrook, L0A1G0,29.0,"(21.0, 31.0]",1.0,19.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,centennial place long-term care home,,,,,Cavan Monaghan,3515013.0,128.0,44.1562909,-78.4477515
78,275 Perrier Street,Champlain,Municipal,No,Yes,Yes,Yes,Vanier, K1L5C6,122.0,"(46.0, 172.0]",3.0,86.0,"(23.0, 86.0]",3.0,44.0,"(11.0, 44.0]",3.0,centre d'accueil champlain,0,0,<5,Active,Ottawa,3506008.0,160.0,45.44308406,-75.66040993
79,435 Lemay Street,Champlain,Non-Profit,Yes,Yes,Yes,No,Clarence Creek, K0A1N0,51.0,"(46.0, 172.0]",3.0,30.0,"(23.0, 86.0]",3.0,20.0,"(11.0, 44.0]",3.0,centre d'accueil roger seguin,,0,,Inactive,Clarence-Rockland,3502036.0,113.0,45.51025689,-75.21616879
80,12 Wren Drive P.O. Box 430,Champlain,For-Profit,No,Yes,No,Yes,Cobden, K0J1K0,22.0,"(21.0, 31.0]",1.0,10.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,caressant care cobden,,,,,,,64.0,45.628945,-76.886951
81,32 Mill Street,Central,For-Profit,Yes,Yes,Yes,Yes,Aurora, L4G2R9,28.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,chartwell aurora long term care residence,31,11,5,Active,Aurora,3519046.0,235.0,43.99779774,-79.47131474
82,465 Talbot Street West,South West,For-Profit,No,Yes,No,Yes,Aylmer, N5H1K8,30.0,"(21.0, 31.0]",1.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,chartwell aylmer long term care residence,,,,,Aylmer,3534011.0,64.0,42.77395085,-80.99760032
83,70 Station Street,Central East,For-Profit,No,Yes,Yes,Yes,Ajax, L1S1R9,65.0,"(46.0, 172.0]",3.0,43.0,"(23.0, 86.0]",3.0,7.0,"(5.0, 7.0]",1.0,chartwell ballycliffe long term care residence,5,30,31,Active,Ajax,3518005.0,100.0,43.85095764,-79.02534179
84,1182 Northshore Blvd. East,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Burlington, L7S1C5,42.0,"(31.0, 46.0]",2.0,13.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,chartwell brant centre long term care residence,,,,,Burlington,3524002.0,175.0,43.31651571,-79.80381069
